id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
265,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,235,ORANG,2018
266,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,228573,ORANG,2018
267,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,10,ORANG,2018
268,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,38007,ORANG,2018
269,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,0,ORANG,2019
270,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,0,ORANG,2019
271,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,25113,ORANG,2019
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,788629,ORANG,2019
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,37847,ORANG,2019
274,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,378771,ORANG,2019
275,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,10771,ORANG,2019
276,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,78546,ORANG,2019
277,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,35848,ORANG,2019
278,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,34568,ORANG,2019
